video,status,start_time,end_time,elapsed_seconds,output_dir,error
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-21/20260721_204152_tp00114.mp4,completed,2026-08-22 19:19:23,2026-08-22 19:25:25,361.43,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-21/20260721_204152_tp00114,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-22/20260722_203656_tp00148.mp4,completed,2026-08-22 19:25:25,2026-08-22 19:31:27,362.0,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-22/20260722_203656_tp00148,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-23/20260723_152826_tp00174.mp4,completed,2026-08-22 19:31:27,2026-08-22 19:37:50,382.95,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-23/20260723_152826_tp00174,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-24/20260724_102254_tp00199.mp4,completed,2026-08-22 19:37:50,2026-08-22 19:43:59,369.51,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-24/20260724_102254_tp00199,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-25/20260725_013811_tp00222.mp4,completed,2026-08-22 19:43:59,2026-08-22 19:49:23,323.55,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 3 - EB Backup/2026-07-25/20260725_013811_tp00222,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-19/20260719_140729_tp00026.mp4,completed,2026-08-22 19:49:23,2026-08-22 19:55:42,379.5,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-19/20260719_140729_tp00026,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-20/20260720_000523_tp00039.mp4,completed,2026-08-22 19:55:42,2026-08-22 20:01:30,347.95,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-20/20260720_000523_tp00039,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-21/20260721_125547_tp00080.mp4,completed,2026-08-22 20:01:30,2026-08-22 20:07:41,371.1,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-21/20260721_125547_tp00080,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-22/20260722_181846_tp00116.mp4,failed,2026-08-22 20:07:41,2026-08-22 20:07:44,3.09,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-22/20260722_181846_tp00116,Pipeline returned non-zero exit code: 1
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-23/20260723_151745_tp00140.mp4,completed,2026-08-22 20:07:44,2026-08-22 20:13:47,362.83,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-23/20260723_151745_tp00140,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-24/20260724_234429_tp00179.mp4,completed,2026-08-22 20:13:47,2026-08-22 20:19:26,338.47,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-24/20260724_234429_tp00179,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-25/20260725_065225_tp00184.mp4,completed,2026-08-22 20:19:26,2026-08-22 20:25:08,342.47,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 4 - HD Road Navnagar/Cam 4 - WB Backup/2026-07-25/20260725_065225_tp00184,
/home/users/oauser/mvsa/vehicle-counting/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 5 - Gokul Rd Near Airport/Cam 3 - EB Backup cam/2026-07-15/20260715_053640_tp00023.mp4,completed,2026-08-22 20:25:08,2026-08-22 20:30:39,330.45,/home/users/oauser/mvsa/vehicle-counting/output/dataset/DC646KA01 - Traffic & Transport Primary Surveys Hubballi-Dharwad in the state of Karnataka/TVC - 7 Days and 24 Hour CTVC/TVC 5 - Gokul Rd Near Airport/Cam 3 - EB Backup cam/2026-07-15/20260715_053640_tp00023,
