2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=362 raw_class=Two-wheeler raw_conf=0.888 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=365 raw_class=Two-wheeler raw_conf=0.895 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=369 raw_class=Two-wheeler raw_conf=0.839 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=372 raw_class=Two-wheeler raw_conf=0.857 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=375 raw_class=Two-wheeler raw_conf=0.826 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=378 raw_class=Two-wheeler raw_conf=0.831 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=381 raw_class=Two-wheeler raw_conf=0.804 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=384 raw_class=Two-wheeler raw_conf=0.795 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=387 raw_class=Two-wheeler raw_conf=0.793 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=390 raw_class=Two-wheeler raw_conf=0.773 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=394 raw_class=Two-wheeler raw_conf=0.774 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=397 raw_class=Two-wheeler raw_conf=0.805 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=400 raw_class=Two-wheeler raw_conf=0.758 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=400 raw_class=Hatchback raw_conf=0.516 kept_by_bytetrack=True track_id=4
2026-08-28 11:05:44 [DEBUG] uvh_test.counter: track_id: 4, frame: 400, previous_bottom_center: (1402.8828125, 866.3811), current_bottom_center: (1697.592041015625, 1032.7999), previous_side: 34.03, current_side: -16.89, side_transition: True, crossing_result: True, direction: B_TO_A
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=400 COUNTED track_id=4 class=Two-wheeler direction=B_TO_A
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=403 raw_class=Two-wheeler raw_conf=0.686 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=403 raw_class=Hatchback raw_conf=0.485 kept_by_bytetrack=True track_id=4
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=406 raw_class=Two-wheeler raw_conf=0.519 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=406 raw_class=Hatchback raw_conf=0.574 kept_by_bytetrack=True track_id=4
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=406 raw_class=Two-wheeler raw_conf=0.876 kept_by_bytetrack=True track_id=7
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=409 raw_class=Two-wheeler raw_conf=0.517 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=409 raw_class=Two-wheeler raw_conf=0.889 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=412 raw_class=Two-wheeler raw_conf=0.376 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=412 raw_class=Two-wheeler raw_conf=0.904 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=415 raw_class=Two-wheeler raw_conf=0.584 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=415 raw_class=Two-wheeler raw_conf=0.911 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=419 raw_class=Two-wheeler raw_conf=0.403 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=419 raw_class=Two-wheeler raw_conf=0.909 kept_by_bytetrack=False track_id=None
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=419 raw_class=Hatchback raw_conf=0.522 kept_by_bytetrack=True track_id=4
2026-08-28 11:05:44 [DEBUG] uvh_test.counter: track_id: 7, frame: 419, previous_bottom_center: (888.1987915039062, 523.18677), current_bottom_center: (1113.133544921875, 467.96747), previous_side: 81.60, current_side: -100.66, side_transition: True, crossing_result: True, direction: B_TO_A
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=422 raw_class=Two-wheeler raw_conf=0.470 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=422 raw_class=Two-wheeler raw_conf=0.908 kept_by_bytetrack=True track_id=7
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=422 raw_class=Hatchback raw_conf=0.409 kept_by_bytetrack=True track_id=4
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=425 raw_class=Two-wheeler raw_conf=0.497 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=425 raw_class=Two-wheeler raw_conf=0.892 kept_by_bytetrack=True track_id=7
2026-08-28 11:05:44 [DEBUG] uvh_test.main: frame=425 raw_class=Hatchback raw_conf=0.363 kept_by_bytetrack=True track_id=4
2026-08-28 11:05:45 [DEBUG] uvh_test.main: frame=428 raw_class=Two-wheeler raw_conf=0.456 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:45 [DEBUG] uvh_test.main: frame=428 raw_class=Two-wheeler raw_conf=0.901 kept_by_bytetrack=True track_id=7
2026-08-28 11:05:45 [DEBUG] uvh_test.main: frame=431 raw_class=Two-wheeler raw_conf=0.355 kept_by_bytetrack=True track_id=3
2026-08-28 11:05:45 [DEBUG] uvh_test.main: frame=431 raw_class=Two-wheeler raw_conf=0.893 kept_by_bytetrack=True track_id=7
